fiscalyear,school,traveler_type,total_trips,total_emissions,percapita_trips,percapita_emissions
FY17-18,All Children's Hospital,Providers,4,0.35065343759999995,2.323177177107412e-05,7.374881882268121e-06
FY17-18,All Children's Hospital,Regular,4,0.35065343759999995,2.323177177107412e-05,7.374881882268121e-06
FY17-18,BIOETHICS INSTITUTE,Faculty,11,3.4687138004,6.388737237045383e-05,7.295338307940594e-05
FY17-18,BOLOGNA CENTER,Deans/Executive,4,1.4769460803,2.323177177107412e-05,3.106287211453646e-05
FY17-18,BOLOGNA CENTER,Faculty,39,14.1731569682,0.0002265097747679727,0.0002980873629950131
FY17-18,BOLOGNA CENTER,Sr Staff-Admin,41,10.8333066472,0.00023812566065350974,0.00022784421411726694
FY17-18,Bloomberg School of Public Health,Deans/Executive,19,3.6692964954000002,0.00011035091591260208,7.71720033027715e-05
FY17-18,Bloomberg School of Public Health,Faculty,268,90.0464661415,0.001556528708661966,0.0018938415555097307
FY17-18,Bloomberg School of Public Health,Graduate Stud,23,11.4269804468,0.0001335826876836762,0.0002403302578264455
FY17-18,Bloomberg School of Public Health,Sr Staff-Admin,175,28.8360407895,0.0010163900149844929,0.0006064745756675511
FY17-18,Bloomberg School of Public Health,Sr Staff-Non Ad,227,91.1968673006,0.0013184030480084563,0.0019180365918500413
FY17-18,Bloomberg School of Public Health,Staff-Admin,5,1.6483132653,2.903971471384265e-05,3.4667036832047244e-05
FY17-18,Bloomberg School of Public Health,Staff-Non Admin,2,0.0831534236,1.161588588553706e-05,1.74886828816934e-06
FY17-18,CENTER FOR TALENTED YOUTH,Deans/Executive,9,2.4152334304000003,5.227148648491677e-05,5.0796767854943873e-05
FY17-18,CENTER FOR TALENTED YOUTH,Non-employees,79,24.9044566544,0.00045882749247871387,0.0005237861845169783
FY17-18,CENTER FOR TALENTED YOUTH,Sr Staff-Admin,213,70.8338082523,0.0012370918468096969,0.0014897642889440234
FY17-18,CENTER FOR TALENTED YOUTH,Staff-Admin,48,6.2786435227,0.00027878126125288947,0.00013205133443922162
FY17-18,CGEPI,Deans/Executive,23,6.536449979,0.0001335826876836762,0.00013747347482008244
FY17-18,CGEPI,Sr Staff-Admin,35,10.0315814452,0.00020327800299689856,0.00021098246963457845
FY17-18,Carey Business School,Deans/Executive,35,17.773182385400002,0.00020327800299689856,0.000373802469074478
FY17-18,Carey Business School,Faculty,61,15.9567304503,0.00035428451950888037,0.0003355991690929698
FY17-18,Carey Business School,Graduate Stud,5,1.0897256607,2.903971471384265e-05,2.2918919850734953e-05
FY17-18,Carey Business School,Sr Staff-Admin,29,15.498408434200002,0.00016843034534028738,0.00032595982046454934
FY17-18,EMRS PROJECT,Regular,173,10.2957141271,0.0010047741290989556,0.00021653766208782135
FY17-18,HUMAN LANGUAGE TECHNOLOGY COE,Faculty,26,9.4846414364,0.00015100651651198178,0.00019947932285468593
FY17-18,HUMAN LANGUAGE TECHNOLOGY COE,Sr Staff-Appt,2,0.1468866257,1.161588588553706e-05,3.089293868147235e-06
FY17-18,Homewood Student Affairs,Deans/Executive,79,8.1641485925,0.00045882749247871387,0.00017170694789439317
FY17-18,Homewood Student Affairs,Graduate Stud,2,0.058708824199999995,1.161588588553706e-05,1.2347537411446847e-06
FY17-18,Homewood Student Affairs,Sr Staff-Admin,96,13.9677944636,0.0005575625225057789,0.00029376821465060303
FY17-18,Homewood Student Affairs,Sr Staff-Appt,158,14.9924458347,0.0009176549849574277,0.0003153185034031881
FY17-18,Homewood Student Affairs,Sr Staff-Non Ad,63,9.7005908278,0.0003659004053944174,0.0002040211327540071
FY17-18,Homewood Student Affairs,Staff-Admin,265,38.9301173561,0.0015391048798336605,0.00081877143178497
FY17-18,Homewood Student Affairs,Staff-Non Admin,13,2.412371704,7.550325825599089e-05,5.073658052490137e-05
FY17-18,Homewood Student Affairs,Undergrad Stud,4,0.1704764698,2.323177177107412e-05,3.5854313509260997e-06
FY17-18,Howard County General Hospital,Regular,24,4.0472361765,0.00013939063062644473,8.512076469467916e-05
FY17-18,INSTITUTION WIDE FUNDS,Deans/Executive,5,0.6784230475,2.903971471384265e-05,1.426847509542532e-05
FY17-18,INSTITUTION WIDE FUNDS,Sr Staff-Admin,16,3.4415099038,9.292708708429648e-05,7.238123547539101e-05
FY17-18,JH Bayview Medical Center,Regular,25,8.5381104918,0.00014519857356921326,0.00017957204927392727
FY17-18,JH Bayview Medical Center,Regular Nurses,14,5.2213015765,8.131120119875943e-05,0.00010981350321827797
FY17-18,JH Community Physicians,Providers,24,11.860623276599998,0.00013939063062644473,0.0002494505581171148
FY17-18,JH Community Physicians,Regular,14,4.3387491136000005,8.131120119875943e-05,9.125181389522336e-05
FY17-18,JH HEALTH SYSTEM CORPORATION,Intrastaff Clerical,2,0.25994639340000003,1.161588588553706e-05,5.467147164356224e-06
FY17-18,JH HEALTH SYSTEM CORPORATION,Non-employees,4,0.4829434496,2.323177177107412e-05,1.0157182319364515e-05
FY17-18,JH HEALTH SYSTEM CORPORATION,Regular,736,246.27806001620002,0.004274646005877639,0.005179677162855839
FY17-18,JH HEALTH SYSTEM CORPORATION,Sr Staff-Admin,25,6.2700004368,0.00014519857356921326,0.00013186955456548913
FY17-18,JH TECHNOLOGY VENTURES,Deans/Executive,2,0.1584658194,1.161588588553706e-05,3.3328254485414816e-06
FY17-18,JH TECHNOLOGY VENTURES,Sr Staff-Admin,14,1.65410465,8.131120119875943e-05,3.478884022399344e-05
FY17-18,JHBMC GRANT COMPANY,Regular,6,0.2880487062,3.484765765661118e-05,6.058190101043383e-06
FY17-18,JHBMC GRANT COMPANY,Regular Nurses,2,0.0960162354,1.161588588553706e-05,2.019396700347794e-06
FY17-18,JHHCG CORP (GROUP),Regular,17,8.68735064,9.873503002706502e-05,0.00018271084201641484
FY17-18,JHHCG HOME HEALTH SERVICES,Regular Nurses,4,2.6596169974,2.323177177107412e-05,5.593660037142497e-05
