date,year,month,fiscalyear,Business Area Code,school,PersonnelArea,PersonnelAreaTotal,total_emissions_epa,total_trips
2017-07-31,2017,7,FY17-18,101.0,University Administration,University Administration,2199.0,24211.12903828,108
2017-07-31,2017,7,FY17-18,110.0,Homewood Student Affairs,University Student Services,737.0,14091.77757187,73
2017-07-31,2017,7,FY17-18,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,28919.79456565,88
2017-07-31,2017,7,FY17-18,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,18670.05796574,58
2017-07-31,2017,7,FY17-18,125.0,School of Education,School of Education,253.0,1531.65450734,6
2017-07-31,2017,7,FY17-18,126.0,Carey Business School,Carey Business School,338.0,6411.38787005,16
2017-07-31,2017,7,FY17-18,130.0,Sheridan Libraries,Libraries,160.0,2887.17455235,5
2017-07-31,2017,7,FY17-18,135.0,PEABODY INSTITUTE,Peabody,304.0,1126.59196394,10
2017-07-31,2017,7,FY17-18,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,6166.16221425,13
2017-07-31,2017,7,FY17-18,142.0,NANJING CENTER,SAIS,195.0,1076.52897145,7
2017-07-31,2017,7,FY17-18,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,14109.30891793,36
2017-07-31,2017,7,FY17-18,165.0,School of Nursing (SON),School of Nursing,330.0,23985.72990605,57
2017-07-31,2017,7,FY17-18,170.0,School of Medicine (SOM),School of Medicine,11766.0,90968.43081049,220
2017-07-31,2017,7,FY17-18,212.0,CGEPI,Academic and Business Centers,794.0,5232.7325712,12
2017-07-31,2017,7,FY17-18,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,17130.19343607,47
2017-07-31,2017,7,FY17-18,235.0,JHPEIGO,Academic and Business Centers,794.0,68222.68189503,114
2017-08-31,2017,8,FY17-18,101.0,University Administration,University Administration,2199.0,18710.48211976,87
2017-08-31,2017,8,FY17-18,110.0,Homewood Student Affairs,University Student Services,737.0,4859.65736335,39
2017-08-31,2017,8,FY17-18,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,30985.27288923,81
2017-08-31,2017,8,FY17-18,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,7073.13381307,19
2017-08-31,2017,8,FY17-18,125.0,School of Education,School of Education,253.0,919.4408536999999,8
2017-08-31,2017,8,FY17-18,126.0,Carey Business School,Carey Business School,338.0,2402.73787597,8
2017-08-31,2017,8,FY17-18,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,11003.38036187,32
2017-08-31,2017,8,FY17-18,142.0,NANJING CENTER,SAIS,195.0,1271.9093590799998,2
2017-08-31,2017,8,FY17-18,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,12861.31748574,61
2017-08-31,2017,8,FY17-18,165.0,School of Nursing (SON),School of Nursing,330.0,14074.459414339999,30
2017-08-31,2017,8,FY17-18,170.0,School of Medicine (SOM),School of Medicine,11766.0,69873.95325245999,219
2017-08-31,2017,8,FY17-18,211.0,HUMAN LANGUAGE TECHNOLOGY COE,Academic and Business Centers,794.0,3203.38288178,4
2017-08-31,2017,8,FY17-18,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,5294.90648056,21
2017-08-31,2017,8,FY17-18,235.0,JHPEIGO,Academic and Business Centers,794.0,73135.09658973,135
2017-08-31,2017,8,FY17-18,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,1527.39073884,8
2017-09-30,2017,9,FY17-18,101.0,University Administration,University Administration,2199.0,16985.27973817,91
2017-09-30,2017,9,FY17-18,110.0,Homewood Student Affairs,University Student Services,737.0,18327.75446587,101
2017-09-30,2017,9,FY17-18,112.0,U-WIDE STUDENT AFFAIRS,University Student Services,737.0,1888.4593559999998,8
2017-09-30,2017,9,FY17-18,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,35719.57092277,90
2017-09-30,2017,9,FY17-18,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,18988.924346570002,92
2017-09-30,2017,9,FY17-18,125.0,School of Education,School of Education,253.0,3798.47795848,19
2017-09-30,2017,9,FY17-18,126.0,Carey Business School,Carey Business School,338.0,2071.0121507599997,10
2017-09-30,2017,9,FY17-18,135.0,PEABODY INSTITUTE,Peabody,304.0,10215.95303856,71
2017-09-30,2017,9,FY17-18,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,30806.29440247,93
2017-09-30,2017,9,FY17-18,141.0,BOLOGNA CENTER,SAIS,195.0,438.0704619,4
2017-09-30,2017,9,FY17-18,142.0,NANJING CENTER,SAIS,195.0,2526.66838976,6
2017-09-30,2017,9,FY17-18,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,12312.94696151,39
2017-09-30,2017,9,FY17-18,165.0,School of Nursing (SON),School of Nursing,330.0,14306.0999779,31
2017-09-30,2017,9,FY17-18,170.0,School of Medicine (SOM),School of Medicine,11766.0,141913.25226571,409
2017-09-30,2017,9,FY17-18,211.0,HUMAN LANGUAGE TECHNOLOGY COE,Academic and Business Centers,794.0,826.14597018,2
2017-09-30,2017,9,FY17-18,212.0,CGEPI,Academic and Business Centers,794.0,3134.4277661100004,5
2017-09-30,2017,9,FY17-18,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,8150.02565846,24
2017-09-30,2017,9,FY17-18,235.0,JHPEIGO,Academic and Business Centers,794.0,60916.86425585,104
2017-09-30,2017,9,FY17-18,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,1670.54449828,10
2017-10-31,2017,10,FY17-18,101.0,University Administration,University Administration,2199.0,59050.33609194,206
2017-10-31,2017,10,FY17-18,110.0,Homewood Student Affairs,University Student Services,737.0,16206.2121226,98
2017-10-31,2017,10,FY17-18,112.0,U-WIDE STUDENT AFFAIRS,University Student Services,737.0,800.46356885,5
2017-10-31,2017,10,FY17-18,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,45961.30161686,154
2017-10-31,2017,10,FY17-18,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,18222.75689861,81
2017-10-31,2017,10,FY17-18,125.0,School of Education,School of Education,253.0,3462.74247652,20
2017-10-31,2017,10,FY17-18,126.0,Carey Business School,Carey Business School,338.0,2935.72708216,13
2017-10-31,2017,10,FY17-18,130.0,Sheridan Libraries,Libraries,160.0,200.97771776,4
2017-10-31,2017,10,FY17-18,135.0,PEABODY INSTITUTE,Peabody,304.0,7081.55702384,63
2017-10-31,2017,10,FY17-18,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,13342.71962897,65
2017-10-31,2017,10,FY17-18,141.0,BOLOGNA CENTER,SAIS,195.0,2084.6108507,6
2017-10-31,2017,10,FY17-18,142.0,NANJING CENTER,SAIS,195.0,8183.26944494,34
2017-10-31,2017,10,FY17-18,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,31819.54723511,79
2017-10-31,2017,10,FY17-18,165.0,School of Nursing (SON),School of Nursing,330.0,5052.81968419,26
2017-10-31,2017,10,FY17-18,170.0,School of Medicine (SOM),School of Medicine,11766.0,160321.87771962,482
2017-10-31,2017,10,FY17-18,210.0,BIOETHICS INSTITUTE,Academic and Business Centers,794.0,432.55024247,2
2017-10-31,2017,10,FY17-18,212.0,CGEPI,Academic and Business Centers,794.0,1739.63569168,8
2017-10-31,2017,10,FY17-18,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,12222.21033905,32
2017-10-31,2017,10,FY17-18,235.0,JHPEIGO,Academic and Business Centers,794.0,73285.17670485,142
2017-10-31,2017,10,FY17-18,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,71.77646036,1
2017-10-31,2017,10,FY17-18,255.0,JHU PRESS MUSE,Academic and Business Centers,794.0,379.55704312,2
2017-11-30,2017,11,FY17-18,101.0,University Administration,University Administration,2199.0,55397.0349151,174
2017-11-30,2017,11,FY17-18,110.0,Homewood Student Affairs,University Student Services,737.0,7122.0764324,45
2017-11-30,2017,11,FY17-18,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,26316.97254898,107
2017-11-30,2017,11,FY17-18,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,16393.54578108,55
2017-11-30,2017,11,FY17-18,125.0,School of Education,School of Education,253.0,2149.23869494,21
2017-11-30,2017,11,FY17-18,126.0,Carey Business School,Carey Business School,338.0,100.48885888,2
2017-11-30,2017,11,FY17-18,130.0,Sheridan Libraries,Libraries,160.0,793.83204808,8
2017-11-30,2017,11,FY17-18,135.0,PEABODY INSTITUTE,Peabody,304.0,6309.95100309,30
2017-11-30,2017,11,FY17-18,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,36669.86059503,87
2017-11-30,2017,11,FY17-18,141.0,BOLOGNA CENTER,SAIS,195.0,6816.3143357300005,21
2017-11-30,2017,11,FY17-18,142.0,NANJING CENTER,SAIS,195.0,3808.8879039,24
2017-11-30,2017,11,FY17-18,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,34799.7853389,96
2017-11-30,2017,11,FY17-18,165.0,School of Nursing (SON),School of Nursing,330.0,4043.6945424,26
2017-11-30,2017,11,FY17-18,170.0,School of Medicine (SOM),School of Medicine,11766.0,99774.35107018,324
2017-11-30,2017,11,FY17-18,210.0,BIOETHICS INSTITUTE,Academic and Business Centers,794.0,484.35049382,2
2017-11-30,2017,11,FY17-18,211.0,HUMAN LANGUAGE TECHNOLOGY COE,Academic and Business Centers,794.0,1574.59609925,2
2017-11-30,2017,11,FY17-18,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,8275.50292229,24
2017-11-30,2017,11,FY17-18,235.0,JHPEIGO,Academic and Business Centers,794.0,48193.76544426,91
2017-11-30,2017,11,FY17-18,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,1193.0477855,9
2017-11-30,2017,11,FY17-18,255.0,JHU PRESS MUSE,Academic and Business Centers,794.0,327.67514514000004,4
2017-12-31,2017,12,FY17-18,101.0,University Administration,University Administration,2199.0,11190.86824189,47
2017-12-31,2017,12,FY17-18,110.0,Homewood Student Affairs,University Student Services,737.0,2098.33202059,16
2017-12-31,2017,12,FY17-18,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,12474.02215644,41
2017-12-31,2017,12,FY17-18,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,25158.57922231,63
2017-12-31,2017,12,FY17-18,125.0,School of Education,School of Education,253.0,1386.7952405199999,7
2017-12-31,2017,12,FY17-18,126.0,Carey Business School,Carey Business School,338.0,2425.51275004,9
2017-12-31,2017,12,FY17-18,130.0,Sheridan Libraries,Libraries,160.0,177.20947632,4
2017-12-31,2017,12,FY17-18,135.0,PEABODY INSTITUTE,Peabody,304.0,329.82970902,3
2017-12-31,2017,12,FY17-18,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,11704.54348392,37
2017-12-31,2017,12,FY17-18,141.0,BOLOGNA CENTER,SAIS,195.0,2956.8100566000003,7
2017-12-31,2017,12,FY17-18,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,17061.67376905,45
2017-12-31,2017,12,FY17-18,165.0,School of Nursing (SON),School of Nursing,330.0,4072.1121058599997,13
2017-12-31,2017,12,FY17-18,170.0,School of Medicine (SOM),School of Medicine,11766.0,65742.41600709,181
2017-12-31,2017,12,FY17-18,211.0,HUMAN LANGUAGE TECHNOLOGY COE,Academic and Business Centers,794.0,2188.59690693,6
2017-12-31,2017,12,FY17-18,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,6083.916841470001,16
2017-12-31,2017,12,FY17-18,235.0,JHPEIGO,Academic and Business Centers,794.0,69665.79970302,118
2017-12-31,2017,12,FY17-18,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,575.73575336,4
2017-12-31,2017,12,FY17-18,255.0,JHU PRESS MUSE,Academic and Business Centers,794.0,507.50638552,4
2018-01-31,2018,1,FY17-18,101.0,University Administration,University Administration,2199.0,40396.56209329,141
2018-01-31,2018,1,FY17-18,110.0,Homewood Student Affairs,University Student Services,737.0,4058.49526222,29
2018-01-31,2018,1,FY17-18,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,24503.09285433,64
2018-01-31,2018,1,FY17-18,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,15409.61316077,42
2018-01-31,2018,1,FY17-18,125.0,School of Education,School of Education,253.0,307.00040384,2
2018-01-31,2018,1,FY17-18,126.0,Carey Business School,Carey Business School,338.0,10710.259885290001,16
2018-01-31,2018,1,FY17-18,130.0,Sheridan Libraries,Libraries,160.0,473.49149192,2
2018-01-31,2018,1,FY17-18,135.0,PEABODY INSTITUTE,Peabody,304.0,9527.15938099,33
2018-01-31,2018,1,FY17-18,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,26459.37334494,45
2018-01-31,2018,1,FY17-18,141.0,BOLOGNA CENTER,SAIS,195.0,5265.79945666,14
2018-01-31,2018,1,FY17-18,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,16288.98819842,40
2018-01-31,2018,1,FY17-18,165.0,School of Nursing (SON),School of Nursing,330.0,1838.37821982,7
2018-01-31,2018,1,FY17-18,170.0,School of Medicine (SOM),School of Medicine,11766.0,50995.44690224,172
2018-01-31,2018,1,FY17-18,212.0,CGEPI,Academic and Business Centers,794.0,224.30143864,2
2018-01-31,2018,1,FY17-18,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,7672.90542739,25
2018-01-31,2018,1,FY17-18,235.0,JHPEIGO,Academic and Business Centers,794.0,39744.146545640004,82
2018-02-28,2018,2,FY17-18,101.0,University Administration,University Administration,2199.0,21082.584365579998,95
2018-02-28,2018,2,FY17-18,110.0,Homewood Student Affairs,University Student Services,737.0,3035.24978925,21
2018-02-28,2018,2,FY17-18,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,8006.29583668,36
2018-02-28,2018,2,FY17-18,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,12071.26839825,39
2018-02-28,2018,2,FY17-18,125.0,School of Education,School of Education,253.0,3579.37468867,16
2018-02-28,2018,2,FY17-18,126.0,Carey Business School,Carey Business School,338.0,3022.2997264,11
2018-02-28,2018,2,FY17-18,130.0,Sheridan Libraries,Libraries,160.0,484.56821816999997,2
2018-02-28,2018,2,FY17-18,135.0,PEABODY INSTITUTE,Peabody,304.0,7610.4684344199995,15
2018-02-28,2018,2,FY17-18,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,10510.31635822,33
2018-02-28,2018,2,FY17-18,141.0,BOLOGNA CENTER,SAIS,195.0,2530.66453872,12
2018-02-28,2018,2,FY17-18,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,9242.7569502,39
2018-02-28,2018,2,FY17-18,165.0,School of Nursing (SON),School of Nursing,330.0,2056.8283166,3
