fiscalyear,school,from_full,to_full,total_trips,total_emissions,from_lat,from_lng,to_lat,to_lng
FY2023-24,100,"Austin, Texas, United States","Baltimore, Maryland, United States",1,236.8704839,30.2711286,-97.7436995,39.2908816,-76.610759
FY2023-24,100,"Baltimore, Maryland, United States","Austin, Texas, United States",1,236.8704839,39.2908816,-76.610759,30.2711286,-97.7436995
FY2023-24,100,"Baltimore, Maryland, United States","Dallas, Texas, United States",5,1072.904768,39.2908816,-76.610759,32.7762719,-96.7968559
FY2023-24,100,"Baltimore, Maryland, United States","Las Vegas, Nevada, United States",1,371.3152693,39.2908816,-76.610759,36.2533896,-115.2794366
FY2023-24,100,"Baltimore, Maryland, United States","Rochester, New York, United States",1,66.59189931,39.2908816,-76.610759,43.157285,-77.615214
FY2023-24,100,"Baltimore, Maryland, United States","West Palm Beach, Florida, United States",1,172.4195407,39.2908816,-76.610759,26.715364,-80.0532942
FY2023-24,100,"Dallas, Texas, United States","Baltimore, Maryland, United States",7,1502.066676,32.7762719,-96.7968559,39.2908816,-76.610759
FY2023-24,100,"Dallas, Texas, United States","Sacramento, California, United States",5,1262.188874,32.7762719,-96.7968559,38.5810606,-121.493895
FY2023-24,100,"Las Vegas, Nevada, United States","Kona, Hawaii, United States",1,479.7556029,36.2533896,-115.2794366,19.6472213,-155.9966428
FY2023-24,100,"Miami, Florida, United States","Baltimore, Maryland, United States",2,369.4147172,25.7741728,-80.19362,39.2908816,-76.610759
FY2023-24,100,"Phoenix, Arizona, United States","Sacramento, California, United States",2,251.6077007,33.4484367,-112.074141,38.5810606,-121.493895
FY2023-24,100,"Rochester, New York, United States","Baltimore, Maryland, United States",1,66.59189931,43.157285,-77.615214,39.2908816,-76.610759
FY2023-24,100,"Sacramento, California, United States","Dallas, Texas, United States",5,1262.188874,38.5810606,-121.493895,32.7762719,-96.7968559
FY2023-24,100,"Washington, District Of Columbia, United States","Phoenix, Arizona, United States",2,698.0514782,38.8950368,-77.0365427,33.4484367,-112.074141
FY2023-24,100,"West Palm Beach, Florida, United States","Baltimore, Maryland, United States",1,172.4195407,26.715364,-80.0532942,39.2908816,-76.610759
FY2023-24,101,"Albany, New York, United States","Baltimore, Maryland, United States",2,138.4726859,42.6511674,-73.754968,39.2908816,-76.610759
